Timestamp;SetSpeed;x
0;-609;-592
1087;-606;-644
2088;-604;-644
3088;-602;-645
4083;-600;-643
5088;-597;-640
6082;-595;-638
7087;-593;-636
8082;-591;-635
9082;-588;-630
10084;-586;-628
11089;-583;-625
12084;-581;-622
13085;-578;-621
14083;-576;-621
15085;-573;-620
16083;-571;-617
17085;-568;-614
18082;-566;-613
19087;-563;-610
20085;-561;-607
21087;-558;-606
22084;-555;-603
23087;-553;-603
24084;-550;-600
25086;-547;-597
26102;-544;-595
27084;-542;-591
28087;-539;-589
29087;-536;-588
30089;-533;-587
31087;-530;-583
32089;-527;-578
33086;-525;-575
34087;-522;-572
35083;-519;-570
36084;-516;-567
37195;-513;-563
38083;-510;-561
39088;-507;-560
40085;-504;-557
41086;-501;-552
42083;-498;-549
43084;-494;-546
44089;-491;-544
45082;-488;-541
46087;-485;-536
47088;-482;-531
48099;-479;-528
49083;-475;-528
50085;-472;-526
51082;-469;-522
52083;-466;-517
53088;-462;-512
54089;-459;-510
55086;-456;-507
56087;-452;-504
57084;-449;-500
58085;-446;-496
59100;-442;-492
60089;-439;-488
61083;-435;-483
62087;-432;-481
63088;-429;-478
64085;-425;-475
65086;-422;-470
66083;-418;-467
67084;-414;-464
68089;-411;-460
69086;-407;-456
70098;-404;-452
71088;-400;-449
72083;-397;-446
73088;-393;-441
74082;-389;-437
75087;-386;-433
76082;-382;-431
77087;-378;-426
78089;-375;-423
79090;-371;-420
80084;-367;-416
81097;-363;-411
82087;-360;-407
83089;-356;-404
84086;-352;-400
85089;-348;-395
86086;-344;-391
87088;-341;-389
88086;-337;-387
89083;-333;-381
90088;-329;-378
91082;-325;-374
92101;-321;-368
93083;-317;-365
94086;-313;-362
95084;-309;-358
96086;-305;-352
97084;-302;-348
98086;-298;-345
99085;-294;-341
100086;-290;-338
101089;-286;-336
102083;-282;-332
103103;-278;-327
104084;-273;-322
105086;-269;-319
106083;-265;-316
107084;-261;-312
108089;-257;-307
109085;-253;-302
110089;-249;-296
111083;-245;-293
112087;-241;-288
113088;-237;-285
114102;-232;-283
115084;-228;-278
116086;-224;-273
117082;-220;-271
118083;-216;-269
119083;-212;-265
120084;-207;-260
121089;-203;-255
122083;-199;-250
